basename,F_1,P,R
BHIC_5117-092-0013,0.8838,0.8539,0.9158
BHIC_5117-092-0025,0.8842,0.8375,0.9363
ABP_RT_Freyung_008-02_0036,0.8846,0.8807,0.8885
UCL_052_043_001,0.8847,0.829,0.9483
BHIC_5117-082-0007,0.8849,0.8631,0.9079
ABP_M_Freyung_015-01_0009,0.8849,0.8514,0.921
BHIC_5117-092-0015,0.8854,0.852,0.9215
ABP_T_Freyung_004_0459,0.8857,0.8684,0.9037
UCL_004_067_001,0.8863,0.843,0.9343
BHIC_5117-080-0005,0.8865,0.8936,0.8794
StAM_00000230,0.8865,0.8272,0.955
ABP_T_Freyung_006-02_0117,0.8869,0.8571,0.9187
ABP_T_Otterskirchen_004_0346,0.8872,0.821,0.965
ABP_T_Freyung_008-01_0141,0.8873,0.9167,0.8598
BHIC_5117-083-0015,0.8879,0.859,0.9187
UCL_087_104_003,0.888,0.8788,0.8973
BHIC_5117-078-0025,0.888,0.8548,0.9239
Bohisto_HS_130_504_object_122617,0.8881,0.831,0.9537
BHIC_5117-089-0015,0.8882,0.8659,0.9116
Bohisto_HS_122_214_object_140727,0.8882,0.8089,0.9846
BHIC_5117-091-0005,0.8885,0.8896,0.8874
UCL_013_143_001,0.8897,0.8583,0.9234
ABP_T_Freyung_004_0522,0.8898,0.8502,0.9333
UCL_037_188_001,0.8898,0.883,0.8967
BHIC_5117-081-0007,0.8898,0.8807,0.8991
BHIC_5117-088-0009,0.8902,0.8548,0.9286
BHIC_5117-093-0003,0.8905,0.8322,0.9575
EPFL_0045,0.8908,0.9261,0.8582
UCL_063_003_001,0.8909,0.8437,0.9436
NAF_0297,0.8909,0.8199,0.9754
BHIC_5117-083-0019,0.891,0.8757,0.9067
BHIC_5117-082-0009,0.8915,0.8576,0.9282
EPFL_402,0.8915,0.8575,0.9284
ABP_RT_Aigen_am_Inn_013_0127,0.8915,0.8921,0.8908
Bohisto_HS_78_932_object_108207,0.8917,0.8227,0.9733
BHIC_5117-084-0003,0.8918,0.8457,0.9433
BHIC_5117-086-0009,0.892,0.8974,0.8868
BHIC_5117-087-0009,0.8923,0.8706,0.9151
ABP_T_Freyung_001_0004,0.8924,0.9256,0.8615
BHIC_5117-078-0011,0.8926,0.8847,0.9006
Bohisto_HS_77_578_object_106541,0.8927,0.811,0.9927
UCL_004_220_001,0.8928,0.8765,0.9097
BHIC_5117-091-0011,0.8937,0.8659,0.9234
UCL_050_060_001,0.8938,0.838,0.9577
Bohisto_HS_94_268_object_195689,0.8938,0.8549,0.9365
BHIC_5117-093-0011,0.8938,0.8799,0.9082
BHIC_5117-082-0003,0.8939,0.8743,0.9145
BHIC_5117-085-0009,0.8941,0.8997,0.8885
BHIC_5117-087-0025,0.8942,0.8702,0.9195
UCL_002_136_001,0.8949,0.8443,0.952
BHIC_5117-083-0013,0.8956,0.8815,0.91
BHIC_5117-092-0005,0.8956,0.8798,0.912
BHIC_5117-091-0013,0.8958,0.858,0.9372
UCL_094_142_001,0.8958,0.942,0.854
UCL_038_077_001,0.896,0.8237,0.9822
NAF_0249,0.8964,0.8348,0.9678
Bohisto_HS_110_219_object_120062,0.8965,0.8415,0.9592
BHIC_5117-078-0021,0.8966,0.8522,0.946
EPFL_53,0.8966,0.8644,0.9312
BHIC_5117-090-0007,0.8967,0.8531,0.945
BHIC_5117-085-0019,0.8967,0.8736,0.9211
EPFL_258,0.8971,0.8983,0.896
BHIC_5117-083-0003,0.898,0.8613,0.938
HUB_139a,0.8981,0.8198,0.9929
BHIC_5117-083-0011,0.8982,0.8541,0.9471
ABP_T_Otterskirchen_004_0220,0.8988,0.8313,0.9783
StAM_00000001-19,0.8991,0.8488,0.9559
BHIC_5117-081-0005,0.8991,0.8981,0.9
BHIC_5117-092-0021,0.8995,0.8849,0.9146
BHIC_5117-091-0017,0.8997,0.9036,0.8959
StAM_00000223,0.9001,0.8645,0.9387
UCL_100_099_001,0.9002,0.9039,0.8966
BHIC_5117-086-0021,0.9003,0.8772,0.9247
Bohisto_HS_124_39_object_141784,0.9004,0.8328,0.98
BHIC_5117-087-0007,0.9004,0.8915,0.9096
Bohisto_HS_96_675_object_189456,0.9004,0.8219,0.9955
BHIC_5117-078-0015,0.9011,0.8901,0.9124
BHIC_5117-087-0027,0.9012,0.8833,0.9198
ABP_RT_Freyung_024_0078,0.9014,0.9548,0.8537
BHIC_5117-080-0025,0.9016,0.8825,0.9215
BHIC_5117-079-0027,0.9016,0.8714,0.934
EPFL_548,0.9017,0.8697,0.9362
BHIC_5117-079-0021,0.9018,0.8576,0.9508
BHIC_5117-083-0009,0.9021,0.8726,0.9336
StAM_00000077,0.9023,0.8792,0.9267
UCL_038_249_001,0.9024,0.8667,0.9411
UCL_018_065_001,0.9026,0.9449,0.864
unibas_IMG_MAX_624680,0.9027,0.8435,0.9707
BHIC_5117-079-0013,0.9028,0.8819,0.9247
Bohisto_HS_92_311_object_194916,0.9029,0.839,0.9773
ABP_M_Otterskirchen_012_0075,0.9031,0.8411,0.9749
NAF_0641,0.9034,0.8284,0.9933
ABP_S_Freyung_043-01_0013,0.9036,0.899,0.9083
Bohisto_HS_107_475_object_133204,0.9036,0.84,0.9775
BHIC_5117-093-0005,0.9039,0.9224,0.886
BHIC_5117-090-0003,0.904,0.8486,0.9672
BHIC_5117-078-0009,0.9042,0.8901,0.9186
BHIC_5117-090-0025,0.9043,0.8654,0.9469
NAF_0577,0.9044,0.8337,0.9881
BHIC_5117-080-0019,0.9044,0.8816,0.9285
BHIC_5117-089-0007,0.905,0.9025,0.9076
BHIC_5117-080-0007,0.9051,0.9001,0.9101
BHIC_5117-083-0005,0.9051,0.9062,0.9041
StAM_00000170,0.9054,0.8726,0.9408
EPFL_592,0.9054,0.8934,0.9179
UCL_098_050_003,0.9055,0.8363,0.9872
Bohisto_HS37b_205_object_12855,0.9055,0.8782,0.9346
BHIC_5117-088-0007,0.9059,0.8638,0.9524
UCL_092_287_001,0.9061,0.8942,0.9183
BHIC_5117-082-0005,0.9061,0.9091,0.903
HUB_132a,0.9062,0.8333,0.993
ABP_S_Freyung_021_0013,0.9062,0.868,0.9479
EPFL_95,0.9062,0.8935,0.9194
BHIC_5117-086-0011,0.9062,0.8766,0.9379
ABP_T_Freyung_004_0396,0.9065,0.8898,0.9239
UCL_068_163_001,0.9068,0.9336,0.8814
Bohisto_HS32a_146_object_22973,0.9069,0.8662,0.9515
BHIC_5117-080-0011,0.9069,0.8905,0.9239
StAM_00000049-1,0.9069,0.8481,0.9745
ABP_RT_Otterskirchen_021-01_0087,0.9069,0.8558,0.9644
ABP_RM_Otterskirchen_013-02_0036,0.9069,0.844,0.98
ABP_T_Otterskirchen_003_0276,0.9071,0.8793,0.9367
BHIC_5117-085-0021,0.9073,0.8689,0.9492
ABP_T_Freyung_005-01_0120,0.9074,0.8414,0.9846
EPFL_196,0.9076,0.9177,0.8977
BHIC_5117-085-0007,0.9076,0.8971,0.9183
Bohisto_HS_88_311_object_113112,0.9077,0.8795,0.9378
BHIC_5117-086-0017,0.908,0.8724,0.9468
UCL_011_136_001,0.908,0.9303,0.8867
unibas_IMG_MAX_1264566,0.9084,0.8343,0.997
BHIC_5117-091-0015,0.9088,0.9005,0.9172
BHIC_5117-079-0031,0.9089,0.8633,0.9595
ABP_S_Aigen_am_Inn_010_0065,0.9089,0.9724,0.8532
BHIC_5117-084-0007,0.909,0.8696,0.9522
BHIC_5117-084-0015,0.909,0.8996,0.9186
BHIC_5117-080-0023,0.9098,0.8867,0.9341
Bohisto_HS58a_290_object_34114,0.9099,0.936,0.8852
BHIC_5117-079-0023,0.9101,0.8832,0.9387
BHIC_5117-084-0017,0.9103,0.8675,0.9576
Bohisto_HS37a_384_object_24966,0.9106,0.8489,0.982
Bohisto_HS_84_518_object_124476,0.9106,0.8714,0.9534
UCL_066_006_001,0.9108,0.9294,0.893
BHIC_5117-089-0017,0.9108,0.8767,0.9476
BHIC_5117-079-0011,0.9108,0.8901,0.9325
NAF_0617,0.9111,0.8644,0.9632
HUB_00000193,0.9111,0.8378,0.9985
Bohisto_HS_121_508_object_140140,0.9113,0.8848,0.9394
ABP_RT_Aigen_am_Inn_013_0001,0.9115,0.9619,0.8661
UCL_007_015_001,0.9115,0.8971,0.9264
NAF_0521,0.9116,0.8438,0.9913
BHIC_5117-085-0005,0.9117,0.8983,0.9255
BHIC_5117-085-0017,0.9118,0.8861,0.939
NAF_0969,0.9119,0.8488,0.9851
UCL_090_085_001,0.912,0.9031,0.921
ABP_RS_Otterskirchen_027-01_0002,0.9121,0.8432,0.9934
BHIC_5117-092-0009,0.9122,0.9145,0.9099
BHIC_5117-087-0023,0.9124,0.9017,0.9234
HUB_00000081,0.913,0.842,0.997
ABP_RS_Otterskirchen_027-01_0065,0.913,0.8656,0.9658
ABP_S_Otterskirchen_016_0450,0.913,0.8932,0.9337
UCL_052_583_001,0.9131,0.919,0.9073
BHIC_5117-086-0005,0.9131,0.9098,0.9164
BHIC_5117-079-0029,0.9132,0.8892,0.9385
BHIC_5117-079-0005,0.9132,0.8922,0.9352
unibas_IMG_MAX_309366,0.9135,0.9159,0.9112
ABP_S_Aigen_am_Inn_010_0002,0.9136,0.9408,0.8879
ABP_S_Aigen_am_Inn_011_0036,0.914,0.9603,0.872
Bohisto_HS_103_553_object_126926,0.914,0.8459,0.994
BHIC_5117-079-0015,0.9141,0.8804,0.9505
BHIC_5117-079-0019,0.9146,0.8819,0.9498
ABP_M_Freyung_012_0116,0.9154,0.8538,0.9867
BHIC_5117-078-0005,0.9155,0.8977,0.934
BHIC_5117-078-0023,0.9157,0.8979,0.9342
BHIC_5117-083-0001,0.9157,0.8571,0.9828
Bohisto_HS_98_664_object_192139,0.9159,0.8827,0.9518
BHIC_5117-090-0023,0.9163,0.9004,0.9328
BHIC_5117-090-0011,0.9164,0.8729,0.9646
NAF_0601,0.9167,0.8678,0.9713
Bohisto_HS_124_11_object_141756,0.9168,0.8998,0.9345
StAM_00000006-2,0.917,0.8813,0.9558
UCL_005_204_001,0.9171,0.9194,0.9147
Bohisto_HS_126_231_object_143284,0.9171,0.8538,0.9904
ABP_T_Freyung_004_0650,0.9171,0.9453,0.8905
UCL_072_026_001,0.9171,0.8878,0.9483
Bohisto_HS_91_420_object_185504,0.9173,0.8699,0.9701
BHIC_5117-086-0015,0.9179,0.8994,0.9372
unibas_IMG_MAX_655527,0.9183,0.8508,0.9975
ABP_T_Freyung_004_0776,0.9185,0.9389,0.899
BHIC_5117-088-0023,0.9188,0.8544,0.9936
BHIC_5117-092-0011,0.9188,0.91,0.9278
BHIC_5117-081-0027,0.9188,0.8891,0.9507
Bohisto_HS_124_Register_43_object_144432,0.9189,0.8643,0.9808
BHIC_5117-088-0011,0.9191,0.908,0.9304
BHIC_5117-088-0017,0.9191,0.8949,0.9447
EPFL_376,0.9193,0.8739,0.9695
UCL_077_109_001,0.9194,0.9906,0.8577
BHIC_5117-079-0007,0.9194,0.8939,0.9465
BHIC_5117-088-0013,0.9196,0.8947,0.946
BHIC_5117-086-0007,0.9197,0.8946,0.9463
BHIC_5117-078-0007,0.9198,0.9163,0.9233
BHIC_5117-079-0025,0.9201,0.8909,0.9512
BHIC_5117-091-0007,0.9202,0.9096,0.931
BHIC_5117-080-0021,0.9202,0.9103,0.9305
BHIC_5117-085-0013,0.9203,0.924,0.9167
unibas_IMG_MAX_916426,0.9203,0.9256,0.9151
UCL_107_348_001,0.9203,0.9214,0.9192
BHIC_5117-081-0025,0.9204,0.9203,0.9205
Bohisto_HS_125_634_object_142984,0.9207,0.8727,0.9742
BHIC_5117-081-0011,0.9209,0.9032,0.9394
Bohisto_HS67b_194_object_36963,0.9211,0.8719,0.9762
StAM_00000012-4,0.9212,0.8985,0.9451
BHIC_5117-084-0009,0.9213,0.8725,0.9758
BHIC_5117-092-0019,0.9214,0.9006,0.9431
BHIC_5117-082-0019,0.9218,0.9064,0.9377
EPFL_154,0.9222,0.9372,0.9077
StAM_00000080,0.9224,0.8746,0.9758
UCL_103_287_001,0.9226,0.9601,0.8879
BHIC_5117-079-0009,0.9229,0.9366,0.9095
BHIC_5117-082-0023,0.923,0.9107,0.9356
BHIC_5117-091-0019,0.9231,0.9306,0.9156
ABP_M_Otterskirchen_013-01_0019,0.9233,0.9576,0.8914
UCL_078_072_001,0.9233,0.9722,0.8791
Bohisto_HS_97_290_object_189923,0.9233,0.8643,0.9909
BHIC_5117-083-0021,0.9237,0.8768,0.976
BHIC_5117-087-0013,0.9241,0.9243,0.9239
BHIC_5117-090-0015,0.9241,0.8988,0.9507
BHIC_5117-081-0029,0.9241,0.9112,0.9374
BHIC_5117-090-0019,0.9243,0.9101,0.9389
ABP_S_Aigen_am_Inn_011_0096,0.9244,0.9569,0.8941
Bohisto_HS_115_478_object_128746,0.9245,0.8689,0.9876
StAM_00000024,0.9246,0.8642,0.994
BHIC_5117-081-0021,0.9247,0.8984,0.9525
BHIC_5117-082-0011,0.9247,0.9254,0.9239
BHIC_5117-078-0003,0.925,0.9113,0.939
BHIC_5117-082-0013,0.9251,0.9041,0.947
BHIC_5117-081-0015,0.9251,0.8964,0.9557
BHIC_5117-089-0019,0.9252,0.8981,0.9538
HUB_00000146,0.9256,0.9647,0.8895
UCL_054_061_001,0.9256,0.958,0.8953
ABP_T_Otterskirchen_003_0213,0.9257,0.9275,0.924
NAF_0121,0.9257,0.8888,0.9658
BHIC_5117-081-0019,0.9258,0.9032,0.9497
BHIC_5117-087-0017,0.9258,0.9022,0.9506
UCL_002_451_001,0.9259,0.9039,0.9491
Bohisto_HS_90_282_object_190979,0.9261,0.9301,0.9222
UCL_001_363_001,0.9262,0.9072,0.9461
Bohisto_HS_103_270_object_126643,0.9268,0.8694,0.9924
BHIC_5117-081-0013,0.9268,0.917,0.9368
BHIC_5117-082-0025,0.9269,0.8984,0.9572
UCL_064_031_001,0.9271,0.8971,0.9592
BHIC_5117-080-0015,0.9271,0.9175,0.9368
BHIC_5117-084-0019,0.9272,0.9001,0.956
BHIC_5117-088-0019,0.9277,0.9191,0.9364
UCL_062_139_001,0.928,0.9124,0.9441
Bohisto_HS68b_92_object_15630,0.9281,0.8708,0.9935
UCL_069_192_001,0.9282,0.8695,0.9953
UCL_057_258_001,0.9283,0.9382,0.9185
ABP_S_Aigen_am_Inn_003-03_0048,0.9283,0.9122,0.945
EPFL_178,0.9286,0.9391,0.9184
UCL_036_165_002,0.9288,0.9113,0.9469
NAF_0457,0.9289,0.8733,0.9922
Bohisto_HS_94_826_object_196247,0.929,0.8819,0.9815
ABP_M_Otterskirchen_012_0138,0.929,0.9188,0.9395
HUB_00000020,0.9291,0.9385,0.9198
Bohisto_HS_127_366_object_120634,0.9294,0.8717,0.9953
UCL_042_189_001,0.9296,0.9639,0.8978
HUB_00000062,0.93,0.8995,0.9626
ABP_T_Otterskirchen_004_0283,0.9303,0.9101,0.9514
BHIC_5117-079-0003,0.9307,0.9125,0.9497
UCL_052_224_001,0.9309,0.9707,0.8942
ABP_S_Freyung_019_0591,0.9309,0.882,0.9855
BHIC_5117-090-0013,0.931,0.8859,0.9809
ABP_M_Freyung_013-01_0004,0.9319,0.8931,0.9744
ABP_T_Freyung_004_0713,0.9327,0.8992,0.9687
HUB_020a,0.9328,0.8979,0.9705
Bohisto_HS_87_373_object_132462,0.9329,0.8778,0.9955
unibas_IMG_MAX_752208,0.933,0.8773,0.9962
HUB_00000202,0.9333,0.8784,0.9955
NAF_0737,0.9335,0.8808,0.993
Bohisto_HS_106_304_object_118346,0.9343,0.8885,0.9852
HUB_00000076-1,0.9344,0.879,0.9971
unibas_IMG_MAX_317708,0.9346,0.9295,0.9398
ABP_S_Freyung_019_0276,0.935,0.932,0.938
BHIC_5117-078-0019,0.935,0.9257,0.9444
Bohisto_HS_73_526_object_131037,0.9352,0.9057,0.9666
UCL_056_056_001,0.9357,0.9636,0.9094
ABP_S_Otterskirchen_017_0176,0.936,0.9429,0.9292
EPFL_355,0.9362,0.9313,0.9412
Bohisto_HS18Ad_23_object_19104,0.9364,0.9263,0.9467
UCL_055_227_001,0.9366,0.9536,0.9203
UCL_068_343_002,0.9367,0.931,0.9424
Bohisto_HS29b_120_object_22059,0.9368,0.8819,0.999
BHIC_5117-083-0025,0.9369,0.8955,0.9823
Bohisto_HS42a_29_object_25727,0.937,0.914,0.9612
UCL_031_127_002,0.9374,0.967,0.9095
NAF_0137,0.9375,0.9005,0.9777
UCL_084_173_001,0.9377,0.9748,0.9033
ABP_T_Otterskirchen_003_0087,0.9379,0.9081,0.9697
UCL_098_133_001,0.9379,0.917,0.9599
ABP_S_Freyung_023-01_0029,0.938,0.9404,0.9356
UCL_009_041_002,0.9382,0.9328,0.9438
BHIC_5117-089-0021,0.9383,0.9126,0.9656
BHIC_5117-081-0023,0.9387,0.9188,0.9595
Bohisto_HS27a_32_object_20754,0.9398,0.9248,0.9554
UCL_051_317_004,0.9403,0.8939,0.9918
HUB_00000126,0.9408,0.8942,0.9926
NAF_0417,0.9411,0.8943,0.9931
EPFL_468,0.9413,0.9647,0.9191
EPFL_127,0.9415,0.9201,0.9639
EPFL_459,0.9417,0.9762,0.9096
ABP_T_Otterskirchen_004_0031,0.9429,0.9689,0.9183
BHIC_5117-082-0021,0.9429,0.9313,0.9548
UCL_072_089_002,0.9431,0.9182,0.9694
EPFL_426,0.9433,0.9845,0.9054
Bohisto_HS36b_211_object_12437,0.9433,0.9381,0.9485
StAM_00000144-1,0.9434,0.9111,0.9781
Bohisto_HS26a_131_object_20556,0.9438,0.925,0.9635
ABP_S_Otterskirchen_017_0114,0.944,0.9423,0.9458
EPFL_216,0.9444,0.9318,0.9573
UCL_016_129_001,0.9444,0.9677,0.9222
EPFL_340,0.9446,0.9721,0.9187
BHIC_5117-083-0017,0.9447,0.904,0.9893
BHIC_5117-080-0027,0.9451,0.906,0.9877
HUB_00000048,0.9451,0.9595,0.9311
Bohisto_HS57b_68_object_33512,0.9452,0.9147,0.9777
UCL_019_025_001,0.9454,0.9378,0.9532
StAM_00000027-4,0.9455,0.9038,0.9911
Bohisto_HS42b_69_object_26042,0.9462,0.9397,0.9527
EPFL_92,0.9463,1.0,0.8981
UCL_072_201_001,0.9464,0.9367,0.9564
Bohisto_HS61b_76_object_34928,0.9464,0.9087,0.9873
Bohisto_HS41a_53_object_13197,0.9466,0.9524,0.9409
Bohisto_HS49Register_39_object_30185,0.9467,0.9,0.9985
NAF_0633,0.9473,0.9287,0.9667
Bohisto_HS_79_813_object_131928,0.9475,0.9107,0.9874
UCL_add_ms_33542_f043r,0.9479,0.9044,0.9958
Bohisto_HS_85_71_object_145173,0.9479,0.9067,0.993
StAM_00000014-4,0.9482,0.9409,0.9556
ABP_RT_Freyung_026_0028,0.9487,0.9306,0.9675
NAF_0761,0.9488,0.9306,0.9678
Bohisto_HS_99_1104_object_198561,0.9488,0.9054,0.9965
UCL_057_072_001,0.9494,0.9798,0.9208
BHIC_5117-086-0019,0.9496,0.94,0.9594
StAM_00000017-2,0.9502,0.9529,0.9476
Bohisto_HS68a_24_object_37358,0.9503,0.9155,0.9878
ABP_RT_Freyung_025_0012,0.9503,0.9382,0.9627
BHIC_5117-090-0017,0.9512,0.9196,0.985
ABP_S_Aigen_am_Inn_011_0159,0.9513,0.9693,0.934
NAF_0849,0.9515,0.923,0.9818
NAF_0193,0.9518,0.9418,0.9619
UCL_065_077_001,0.952,0.9527,0.9513
UCL_055_042_001,0.9521,0.9701,0.9348
UCL_045_001_029,0.9535,0.9117,0.9993
Bohisto_HS_127_645_object_120913,0.9537,0.9202,0.9897
ABP_S_Freyung_019_0465,0.9538,0.95,0.9576
ABP_T_Otterskirchen_004_0409,0.954,0.9315,0.9777
UCL_019_383_001,0.9542,0.9653,0.9434
unibas_IMG_MAX_66036,0.9548,0.9624,0.9472
Bohisto_HS_98_385_object_191860,0.9568,0.9328,0.9821
UCL_027_144_002,0.9568,0.9463,0.9676
ABP_T_Otterskirchen_004_0535,0.957,0.9427,0.9718
HUB_00000034-1,0.9581,0.9209,0.9984
HUB_083a,0.9581,0.9578,0.9585
unibas_IMG_MAX_800381,0.959,0.9225,0.9985
NAF_0329,0.9595,0.9413,0.9785
UCL_042_723_001,0.9613,0.9706,0.9521
NAF_0817,0.9626,0.96,0.9652
UCL_035_073_002,0.963,0.9525,0.9738
Bohisto_HS_98_105_object_191580,0.9634,0.937,0.9913
Bohisto_HS28Register_23_object_14272,0.9655,0.9659,0.9652
StAM_00000214,0.9663,0.9418,0.9922
Bohisto_HS63Register_29_object_35695,0.967,0.9522,0.9823
UCL_076_133_001,0.9673,0.9654,0.9693
HUB_146a,0.9674,0.9382,0.9985
ABP_T_Otterskirchen_004_0472,0.9685,0.9713,0.9657
Bohisto_HS_114_424_object_134740,0.9685,0.9463,0.9917
Bohisto_HS_108_86_object_118816,0.9692,0.9467,0.9928
Bohisto_HS_119_458_object_139277,0.9692,0.9461,0.9935
Bohisto_HS_72_385_object_123327,0.9695,0.9584,0.9807
StAM_00000026-1,0.97,0.9653,0.9747
UCL_037_019_001,0.9708,0.9688,0.9729
HUB_104a,0.9716,0.9487,0.9957
HUB_00000174-1,0.9717,0.9461,0.9988
UCL_085_151_001,0.972,0.9741,0.97
Bohisto_HS23c_35_object_20156,0.9727,0.9556,0.9904
HUB_00000294,0.9729,0.9472,1.0
Bohisto_HS_112_233_object_134052,0.9737,0.9507,0.9978
Bohisto_HS_95_282_object_188327,0.9759,0.9679,0.9841
unibas_IMG_MAX_969647,0.9774,0.9763,0.9785
HUB_00000378,0.9785,0.958,1.0
Bohisto_HS_98_943_object_192418,0.98,0.9619,0.9989
HUB_00000055,0.9803,0.9628,0.9985
StAM_00000041-2,0.9813,0.9818,0.9808
UCL_090_187_001,0.9818,0.9727,0.991
NAF_0289,0.982,0.9997,0.965
Bohisto_HS_116_520_object_137532,0.9821,0.9976,0.9671
StAM_00000001-20,0.9839,0.998,0.9703
Bohisto_HS_117_166_object_137840,0.9851,0.9734,0.9972
Bohisto_HS_89_150_object_113681,0.9855,0.9759,0.9952
StAM_00000018-4,0.9859,0.9761,0.9958
UCL_076_386_010,0.9859,0.9771,0.9949
Bohisto_HS_99_578_object_198035,0.9861,0.9756,0.9968
NAF_0649,0.9876,0.985,0.9903
NAF_0569,0.9886,0.985,0.9923
Bohisto_HS47a_308_object_28690,0.9887,0.9788,0.9988
Bohisto_HS43a_32_object_26328,0.9897,0.985,0.9943
UCL_add_ms_33542_f599r,0.9899,1.0,0.9799
UCL_101_500_001,0.9919,0.9996,0.9844
NAF_0122,0.992,1.0,0.9841
BHIC_5117-094-0001,0.993,1.0,0.986
BHIC_5117-086-0001,0.9935,1.0,0.9871
Bohisto_HS_117_445_object_138119,0.994,0.9941,0.994
Bohisto_HS_112_63_object_133882,0.9952,0.998,0.9925
Bohisto_HS_111_392_object_133756,0.9954,0.9985,0.9924
HUB_069a,0.9963,0.9953,0.9973
EPFL_251,0.9964,0.9944,0.9983
Bohisto_HS_106_584_object_118626,0.9971,0.9993,0.9949
BHIC_5117-086-0025,0.9976,1.0,0.9953
BHIC_5117-085-0001,0.9976,1.0,0.9953
UCL_090_233_003,0.998,0.9987,0.9972
StAM_00000173,0.9981,0.9997,0.9965
EPFL_50,0.9982,1.0,0.9964
BHIC_5117-087-0001,0.9982,1.0,0.9964
EPFL_1252,0.9995,1.0,0.999
Bohisto_HS_115_1_object_128269,0.9996,1.0,0.9991
BHIC_5117-089-0001,0.9999,1.0,0.9999
BHIC_5117-090-0001,0.9999,1.0,0.9998
unibas_IMG_MAX_717865,1.0,1.0,1.0
EPFL_115,1.0,1.0,1.0
unibas_IMG_MAX_830614,1.0,1.0,1.0
unibas_IMG_MAX_752923,1.0,1.0,1.0
unibas_IMG_MAX_774675,1.0,1.0,1.0
unibas_IMG_MAX_718244,1.0,1.0,1.0
EPFL_136,1.0,1.0,1.0
unibas_IMG_MAX_647925,1.0,1.0,1.0
unibas_IMG_MAX_658811,1.0,1.0,1.0
EPFL_133,1.0,1.0,1.0
HUB_hufeland_sengoer_1827_0169,1.0,1.0,1.0
unibas_IMG_MAX_975652,1.0,1.0,1.0
HUB_00000798,1.0,1.0,1.0
Bohisto_HS_140_51_object_209143,1.0,1.0,1.0
BHIC_5117-086-0041,1.0,1.0,1.0
BHIC_5117-087-0031,1.0,1.0,1.0
EPFL_301,1.0,1.0,1.0
BHIC_5117-088-0025,1.0,1.0,1.0
HUB_hufeland_sengoer_1827_0001,1.0,1.0,1.0
unibas_IMG_MAX_991393,1.0,1.0,1.0
NAF_0889,1.0,1.0,1.0
NAF_0881,1.0,1.0,1.0
EPFL_230,1.0,1.0,1.0
EPFL_223,1.0,1.0,1.0
BHIC_5117-081-0031,1.0,1.0,1.0
unibas_IMG_MAX_613474,1.0,1.0,1.0
BHIC_5117-091-0023,1.0,1.0,1.0
EPFL_397,1.0,1.0,1.0
Bohisto_HS37Register_61_object_12645,1.0,1.0,1.0
Bohisto_HS38Register_10_object_13031,1.0,1.0,1.0
BHIC_5117-079-0035,1.0,1.0,1.0
EPFL_423,1.0,1.0,1.0
BHIC_5117-077-0019,1.0,1.0,1.0
UCL_add_ms_33543_f436r,1.0,1.0,1.0
unibas_IMG_MAX_1023980,1.0,1.0,1.0
unibas_IMG_MAX_1175844,1.0,1.0,1.0
NAF_0113,1.0,1.0,1.0
unibas_IMG_MAX_1443569,1.0,1.0,1.0
EPFL_200,1.0,1.0,1.0
unibas_IMG_MAX_994563,1.0,1.0,1.0
