basename,F_1,P,R
EPFL_186,0.6076,0.4643,0.8787
EPFL_31,0.608,0.466,0.8743
EPFL_149,0.61,0.5095,0.7598
EPFL_165,0.6135,0.4661,0.8973
EPFL_472,0.6143,0.6212,0.6075
EPFL_1229,0.6144,0.4786,0.8576
EPFL_853,0.615,0.6043,0.6261
EPFL_0259,0.6173,0.533,0.7333
StAM_00000005-2,0.6197,0.514,0.78
StAM_00000002-4,0.6213,0.4986,0.8242
EPFL_227,0.6232,0.5091,0.8033
EPFL_1018,0.6243,0.7089,0.5578
EPFL_874,0.6245,0.6122,0.6374
EPFL_348,0.6272,0.7685,0.5297
unibas_IMG_MAX_577510,0.6302,0.5652,0.712
EPFL_936,0.6305,0.6677,0.5973
EPFL_480,0.6312,0.8064,0.5185
EPFL_269-1,0.6313,0.4879,0.8941
EPFL_201,0.6317,0.7122,0.5676
ABP_RS_Aigen_am_Inn_015_0030,0.6333,0.4775,0.94
EPFL_78,0.6342,0.809,0.5216
EPFL_688,0.6342,0.7691,0.5395
HUB_0589,0.6354,0.4746,0.9608
EPFL_330,0.6357,0.489,0.9083
EPFL_729,0.6362,0.5647,0.7283
EPFL_58,0.6376,0.5074,0.8577
EPFL_439,0.6405,0.5086,0.8648
unibas_IMG_MAX_167621,0.6408,0.4849,0.9447
EPFL_596,0.6447,0.7685,0.5553
EPFL_144,0.6463,0.5162,0.8639
EPFL_351-1,0.6469,0.5094,0.8862
EPFL_181,0.6476,0.6107,0.6892
EPFL_434,0.6495,0.5104,0.8929
EPFL_0183,0.6502,0.5274,0.8475
EPFL_393,0.6516,0.5344,0.8347
HUB_0477,0.6527,0.4949,0.9581
EPFL_1039,0.6535,0.5696,0.7664
NAF_0013,0.6571,1.0,0.4893
EPFL_637,0.6571,0.6624,0.652
StAM_00000143,0.6596,0.6006,0.7313
EPFL_679,0.6603,0.6229,0.7024
ABP_M_Freyung_011_0731,0.6605,0.6561,0.665
NAF_0274,0.6608,0.6531,0.6686
EPFL_616,0.6616,0.747,0.5938
HUB_0337,0.6617,0.5036,0.9645
unibas_IMG_MAX_108944,0.6622,0.5885,0.7569
unibas_IMG_MAX_154127,0.6637,0.5,0.987
EPFL_489,0.6657,0.5289,0.8977
unibas_IMG_MAX_274937,0.6667,0.5,1.0
UCL_add_ms_33542_f691r,0.6667,0.5,1.0
EPFL_121,0.6667,0.5,1.0
EPFL_314,0.6676,0.754,0.5989
EPFL_1206,0.6678,0.5397,0.8755
EPFL_625,0.669,0.5704,0.8089
EPFL_326,0.6705,0.752,0.605
StAM_00000162,0.6706,0.5341,0.9009
EPFL_222,0.6712,0.8059,0.5751
EPFL_72,0.6715,0.7784,0.5903
NAF_0402,0.6716,0.7025,0.6433
unibas_IMG_MAX_273433,0.6767,0.6277,0.734
unibas_IMG_MAX_791378,0.6775,0.5987,0.7803
ABP_M_Aigen_am_Inn_007_0336,0.6792,0.5538,0.8781
EPFL_248,0.6798,0.5267,0.9581
StAM_00000002-14,0.6803,0.5397,0.92
EPFL_533,0.6815,0.6247,0.7497
EPFL_273,0.6823,0.6304,0.7435
EPFL_554,0.684,0.7658,0.618
NAF_0410,0.6865,0.6579,0.7177
EPFL_17,0.6873,0.5732,0.8581
EPFL_306,0.6877,0.7424,0.6406
EPFL_430,0.6885,0.7158,0.6631
NAF_0082,0.6894,0.8599,0.5754
Bohisto_HS57a_34_object_29069,0.691,0.5377,0.9666
EPFL_584,0.6927,0.7937,0.6146
EPFL_418,0.6931,0.8242,0.5979
EPFL_315,0.6982,0.5832,0.8698
NAF_0057,0.6991,0.5578,0.9363
ABP_S_Otterskirchen_014_0034,0.7022,0.5669,0.9222
ABP_S_Aigen_am_Inn_009-05_0217,0.7026,0.5651,0.9286
EPFL_978,0.7033,0.7039,0.7027
NAF_0306,0.7054,0.8403,0.6078
HUB_0267,0.707,0.5559,0.971
UCL_4388,0.7076,0.9017,0.5823
EPFL_293,0.7082,0.9229,0.5745
ABP_T_Freyung_006-01_0089,0.7094,0.5982,0.8714
EPFL_443,0.7101,0.5849,0.9036
